userID,type,username,password,name,address,balance,department,rollNo,designation,position,membershipLevel
1,student,imran1,imran1@123,Imran Iqbal,"House 963, Quetta",85.2,Electrical Engineering,1001,,,
2,student,zain2,zain2@123,Zain Khan,"House 12, Quetta",181.84,Electrical Engineering,1002,,,
3,student,ahsan3,ahsan3@123,Ahsan Malik,"House 12, Karachi",63.35,Software Engineering,1003,,,
4,student,bilal4,bilal4@123,Bilal Khan,"House 54, Karachi",6.7,Electrical Engineering,1004,,,
5,student,ahsan5,ahsan5@123,Ahsan Shah,"House 488, Faisalabad",157.08,Physics,1005,,,
6,student,hussain6,hussain6@123,Hussain Butt,"House 633, Sialkot",55.06,Mathematics,1006,,,
7,student,adnan7,adnan7@123,Adnan Qureshi,"House 659, Rawalpindi",97.79,Physics,1007,,,
8,student,shahzaib8,shahzaib8@123,Shahzaib Siddiqui,"House 969, Karachi",127.9,Electrical Engineering,1008,,,
9,student,farhan9,farhan9@123,Farhan Malik,"House 770, Lahore",177.27,Mathematics,1009,,,
10,student,tariq10,tariq10@123,Tariq Siddiqui,"House 685, Karachi",137.04,Software Engineering,1010,,,
11,student,bilal11,bilal11@123,Bilal Khan,"House 625, Multan",178.21,Business Administration,1011,,,
12,student,shahzaib12,shahzaib12@123,Shahzaib Khan,"House 117, Lahore",43.91,Electrical Engineering,1012,,,
13,student,kamran13,kamran13@123,Kamran Rehman,"House 468, Sialkot",26.41,Computer Science,1013,,,
14,student,saad14,saad14@123,Saad Rehman,"House 177, Rawalpindi",111.5,Mechanical Engineering,1014,,,
15,student,ahsan15,ahsan15@123,Ahsan Ansari,"House 296, Hyderabad",136.11,Business Administration,1015,,,
16,student,shahzaib16,shahzaib16@123,Shahzaib Butt,"House 386, Rawalpindi",171.75,Physics,1016,,,
17,student,salman17,salman17@123,Salman Rehman,"House 636, Rawalpindi",55.46,Business Administration,1017,,,
18,student,danish18,danish18@123,Danish Baig,"House 116, Lahore",164.8,Electrical Engineering,1018,,,
19,student,usman19,usman19@123,Usman Khan,"House 266, Peshawar",7.23,Mechanical Engineering,1019,,,
20,student,noman20,noman20@123,Noman Baig,"House 571, Quetta",64.64,Computer Science,1020,,,
21,student,hussain21,hussain21@123,Hussain Baig,"House 642, Quetta",189.53,Software Engineering,1021,,,
22,student,rizwan22,rizwan22@123,Rizwan Shah,"House 927, Peshawar",145.1,Physics,1022,,,
23,student,ali23,ali23@123,Ali Ansari,"House 525, Lahore",107.17,Computer Science,1023,,,
24,student,noman24,noman24@123,Noman Malik,"House 894, Peshawar",31.81,Physics,1024,,,
25,student,imran25,imran25@123,Imran Farooq,"House 251, Karachi",175.99,Mathematics,1025,,,
26,student,hussain26,hussain26@123,Hussain Ansari,"House 601, Sialkot",82.91,Electrical Engineering,1026,,,
27,student,zain27,zain27@123,Zain Sheikh,"House 872, Rawalpindi",166.51,Electrical Engineering,1027,,,
28,student,ali28,ali28@123,Ali Khan,"House 483, Peshawar",16.22,Mechanical Engineering,1028,,,
